"table_name","row_count"
"additionallinks","2597"
"addmaterials_exclusionlist","61"
"adminsession","1060"
"affiliateclaim","104"
"ai_prompts","8"
"answer","319983"
"appsettings","11"
"assessment","18"
"breakout_rooms","6"
"cards_userlog","103506"
"cards_userloghistory","32237"
"cards_userlogreport_sat","184"
"certificates","602"
"certificatesclaim","17"
"coachingsession","93"
"cohort","62"
"cohortlinksandupdates","12"
"comment","2338"
"course","6"
"coursestats","4282"
"crmemails","33"
"crmemailsignatue","0"
"crmtemplateemails","6"
"dilemma","8"
"dilemmaanalytics","26"
"dilemmachoice","27"
"emailschedule","17015"
"emailtemplates","116"
"emailtriggers","72"
"error","102497"
"events","234"
"events_rsvps","30293"
"faq","6"
"feedbacks","3"
"flashcards","1254"
"flashcardstemp_import","0"
"groups","4"
"guests","74"
"invoice","141"
"kbrating","7"
"knowledgebase","130"
"lead","0"
"learningpath","2555"
"lecture","441"
"lecturestat","226480"
"lectureversion","738"
"manuallog","34595"
"membership","0"
"membershipsubscription","922"
"module","48"
"note","10467"
"notifications","9"
"orders","835"
"paypaltransaction","1"
"perksandbenefits","9"
"perksclaim","137"
"polls","0"
"postcomments","51"
"posts","59"
"qanswer","4085"
"qchoice","528"
"qquestion","675"
"qresult","644"
"question","1159"
"questionnaire","79"
"rating","52094"
"result-assessments","4777"
"resultskill","33926"
"sales_mbacustomerscompanies","506"
"sales_mbacustomersdata","747"
"section","140"
"situation","2"
"skill","96"
"skillcomment","395"
"slackchannels","2"
"slackschedule","203"
"slacktemplate","4"
"slackusers","3"
"tanswer","183675"
"tanswerchoicepos","0"
"tchoice","136790"
"test","28"
"tools_frameworks","65"
"tquestion","1529"
"tquestion_sat","341"
"tresult","10259"
"uploadpdf","0"
"usecases","0"
"user","5433"
"warmlead","396"
